ENSEMBL	SYMBOL	TYPE	S085BE	S089BE	S110BE	S114BE	S117BE	S118BE	S132INBE
ENSG00000259494	MRPL46	protein_coding	54	75	104	79	71	73	69
ENSG00000006607	FARP2	protein_coding	458	599	1228	556	1010	812	896
ENSG00000173198	CYSLTR1	protein_coding	8	15	42	8	10	17	6
ENSG00000157456	CCNB2	protein_coding	23	55	59	24	86	32	28
ENSG00000256223	ZNF10	protein_coding	94	142	93	114	24	92	87
ENSG00000127419	TMEM175	protein_coding	113	164	176	131	89	139	190
ENSG00000283628	CYP2D8P	unprocessed_pseudogene	23	41	59	16	26	34	35
ENSG00000118260	CREB1	protein_coding	580	549	832	690	794	857	872
ENSG00000183011	NAA38	protein_coding	181	236	227	221	203	138	203
ENSG00000266236	NARF-IT1	sense_intronic	6	17	20	2	12	3	10
ENSG00000261026	CTD-3247F14.2	sense_overlapping	302	154	368	24	79	20	51
ENSG00000229785	SLC25A38P1	processed_pseudogene	7	15	8	8	10	3	7
ENSG00000263624	RP11-45M22.3	antisense	12	12	36	10	37	21	49
ENSG00000197566	ZNF624	protein_coding	15	23	64	28	27	26	51
ENSG00000168385	SEPT2	protein_coding	1314	1435	1462	1459	1304	1601	1287
ENSG00000055732	MCOLN3	protein_coding	16	11	3	13	1	17	7
ENSG00000009724	MASP2	protein_coding	100	107	143	52	64	86	80
ENSG00000183579	ZNRF3	protein_coding	339	396	403	378	129	297	86
ENSG00000129646	QRICH2	protein_coding	141	229	278	85	72	100	132
ENSG00000125637	PSD4	protein_coding	358	445	1228	814	849	879	893
ENSG00000100814	CCNB1IP1	protein_coding	486	544	551	549	429	494	425
ENSG00000171126	KCNG3	protein_coding	5	21	11	8	7	5	12
ENSG00000138792	ENPEP	protein_coding	32	42	42	32	12	130	19
ENSG00000157933	SKI	protein_coding	821	1115	1065	948	604	1013	517
ENSG00000198892	SHISA4	protein_coding	29	40	30	46	23	29	14
ENSG00000233441	CYP2AB1P	transcribed_unprocessed_pseudogene	1	6	351	25	317	46	277
ENSG00000003249	DBNDD1	protein_coding	108	94	148	193	47	113	84
ENSG00000158234	FAIM	protein_coding	78	141	104	161	48	60	33
ENSG00000198198	SZT2	protein_coding	598	1078	1497	705	849	957	910
ENSG00000094755	GABRP	protein_coding	1431	1789	2318	1533	2581	2129	2640
ENSG00000104131	EIF3J	protein_coding	373	398	539	582	455	644	308
ENSG00000137996	RTCA	protein_coding	125	150	318	217	207	194	230
ENSG00000126218	F10	protein_coding	10	18	6	10	2	19	5
ENSG00000105664	COMP	protein_coding	22	19	5	18	8	24	4
ENSG00000261221	ZNF865	protein_coding	271	333	409	257	183	268	130
ENSG00000235847	LDHAP7	processed_pseudogene	27	29	46	30	32	34	62
ENSG00000162367	TAL1	protein_coding	67	9	16	13	2	20	10
ENSG00000114770	ABCC5	protein_coding	545	1044	3991	1277	3809	1643	4004
ENSG00000144724	PTPRG	protein_coding	567	625	659	620	246	726	194
ENSG00000137200	CMTR1	protein_coding	779	843	1165	728	728	855	751
ENSG00000186591	UBE2H	protein_coding	2326	2573	2749	2386	3151	2834	3059
